"Census Profile, 2021 Census of Population",,,
,,,British Columbia [Province]
,,,Counts
Topic,Characteristic,Total,
Income of individuals in 2020,"      $125,000 and over",128100,
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,4200500,
Income of individuals in 2020,  Without employment income,1314135,
Income of individuals in 2020,  With employment income,2886365,
Income of individuals in 2020,"    Under $5,000 (including loss)",397640,
Income of individuals in 2020,"    $5,000 to $9,999",234130,
Income of individuals in 2020,"    $10,000 to $19,999",339265,
Income of individuals in 2020,"    $20,000 to $29,999",266065,
Income of individuals in 2020,"    $30,000 to $39,999",257235,
Income of individuals in 2020,"    $40,000 to $49,999",247550,
Income of individuals in 2020,"    $50,000 to $59,999",230030,
Income of individuals in 2020,"    $60,000 to $69,999",190470,
Income of individuals in 2020,"    $70,000 to $79,999",154990,
Income of individuals in 2020,"    $80,000 to $89,999",128265,
Income of individuals in 2020,"    $90,000 to $99,999",105855,
Income of individuals in 2020,"    $100,000 and over",334875,
Income of individuals in 2020,"      $100,000 to $124,999",154515,
Income of individuals in 2020,"      $125,000 and over",180360,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,4200500,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,3960225,
Income of individuals in 2019,    Median total income in 2019 among recipients ($),38400,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,3968465,
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),34800,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,3614710,
Income of individuals in 2019,    Median market income in 2019 among recipients ($),36400,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,2972225,
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),36800,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,2715540,
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),5880,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,258710,
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),5480,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,4200425,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,3959300,
Income of individuals in 2019,    Average total income in 2019 among recipients ($),52300,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,3967440,
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),43400,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,3612845,
Income of individuals in 2019,    Average market income in 2019 among recipients ($),51080,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,2971405,
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),49120,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,2711365,
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),8330,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,258380,
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),7140,
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,4200420,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,1288260,
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),60400,
